"site","date","survey_time","start_time","end_time","duration_min","time_of_capture","species_capture","capture_type","life_stage","sex","snout_vent_length","body_mass"
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:11:00",rana clamitans,,adult,male,,
tuttle pond,2022-06-14,night,"21:44:00","22:47:00","63","23:16:00",rana clamitans,,adult,female,76.6,41.75
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:14:00",rana catesbeiana,new,juvenile,unknown,44.1,11.5
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:23:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:23:00",rana catesbeiana,recapture,,,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:32:00",hyla versicolor,new,adult,unknown,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:46:00",rana clamitans,new,juvenile,unknown,,
tuttle pond,2022-06-15,night,"21:58:00","23:32:00","94","22:59:00",rana catesbeiana,new,adult,female,87.4,73.7
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:56:00",desmognathus fuscus,,adult,unknown,58.2,0.5
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:07:00",unknown,,juvenile,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:26:00",eurycea bislineata,,adult,unknown,53.4,0.4
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:30:00",eurycea bislineata,,adult,unknown,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:35:00",eurycea bislineata,,adult,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:38:00",pseudotriton ruber,,adult,unknown,135.9,11.8
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:08:00",desmognathus fuscus,,adult,unknown,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:55:00",eurycea bislineata,,adult,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","12:02:00",desmognathus fuscus,,adult,unknown,88.7,0.9
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","10:55:00",desmognathus ochrophaeus,,adult,unknown,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:27:00",unknown,,juvenile,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:33:00",unknown,,juvenile,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:47:00",unknown,,juvenile,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","11:56:00",unknown,,juvenile,,,
tryon-weber,2022-06-22,day,"10:58:00","12:12:00","74","12:10:00",desmognathus ochrophaeus,,adult,unknown,65.4,1.0
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:05:00",desmognathus ochrophaeus,,adult,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:28:00",unknown,,juvenile,,,
tryon-weber,2022-06-23,day,"10:40:00","12:33:00","113","11:32:00",eurycea bislineata,,adult,unknown,80.7,2.0
